"""2022ASI-002"",23.114151,72.49861145,59.5,7,0.02562499,0.004918456,0.969277382,36.487957,-23.2592926,-89.62044525,-1641.418579,""11:45:50"",236,74.04512787,99621.01563,43.42353058,0.200000003,""11:45:50"""
"""2022ASI-002"",""11:45:50"",237,73.76407623,99624.33594,43.42353058,0.200000003,""11:45:51"",23.114151,72.49861145,59.5,7,0.025869131,0.010045409,0.967812538,36.2742157,-23.09135437,-7.475755215,""Ascent"",-26.37368965,47.97232056,-1653.94104"
"""2022ASI-002"",""11:45:52"",239,73.89826965,99622.75,43.51764679,0.200000003,""11:45:52"",23.114151,72.49861145,-7.170411587,""Ascent"",59.40000153,7,0.021230459,0.008336425,0.967568398,36.38108826,-23.32036209"
"""2022ASI-002"",43.51764679,0.200000003,""11:45:54"",23.11414909,72.49861145,59.5,7,0.029042959,0.009312987,0.967568398,36.15208054,-23.42723083,-7.567358017,""Ascent"",68.80682373,-14.91150951,-1673.775146,""11:45:54"",241,74.18894958"
"""2022ASI-002"",""11:45:55"",243,74.05931091,99620.84375,43.51764679,0.200000003,""11:45:55"",23.11414909,72.49860382,59.59999847,8,0.024160147,0.007115722,0.963906288,36.2742157,-23.1829567,-7.399419308,""Ascent"",158.3759918,-74.14274597,-1693.50647"
"""2022ASI-002"",""11:45:58"",246,74.07601929,99620.64844,43.611763,0.200000003,""11:45:59"",23.114151,72.49860382,59.40000153,8,0.03319335,0.001256347,0.955849648,36.47269058,-23.32036209,-7.246747494,""Ascent"",-100.0341644,42.5185585,-1712.643188"
"""2022ASI-002"",""11:46:42"",296,73.71495056,99624.92188,44.36470413,0.200000003,""11:46:42"",23.11427498,72.4985199,55.59999847,12,0.018300772,0.007848144,0.971474648,36.07574463,-23.71730804,-7.002472878,""Ascent"",70.28183746,-84.56095886,-2039.967896"
"""2022ASI-002"",""11:46:45"",299,74.02487183,99621.25,44.36470413,0.200000003,""11:46:46"",23.11427498,72.4985199,55.70000076,12,0.020742178,0.007359862,0.964882851,36.32001877,-22.95394897,-7.76583147,""Ascent"",155.5773163,32.92549515,-2059.629883"
"""2022ASI-002"",""11:46:46"",300,73.70127869,99625.07813,44.31764603,0.200000003,""11:46:47"",23.11427498,72.4985199,55.70000076,12,0.023183584,0.015904784,0.970742226,36.15208054,-23.73257446,-7.002472878,""Ascent"",-165.7721558,9.563152313,-2066.457275"
"""2022ASI-002"",""11:46:49"",303,73.90637207,99622.65625,44.31764603,0.200000003,""11:46:49"",23.11427498,72.4985199,55.5,12,0.09984374,0.015904784,0.896279335,34.44215775,-23.99211693,-5.903236389,""Ascent"",-67.96955872,-49.00555801,-2083.972656"
"""2022ASI-002"",""11:46:49"",304,73.64608002,99625.73438,44.45882416,0.200000003,""11:46:49"",23.11427498,72.4985199,55.5,12,0.041494131,0.020299315,0.966103554,36.35055161,-22.57226944,-7.521556854,""Ascent"",-31.81754112,-69.66455078,-2091.313721"
"""2022ASI-002"",""11:46:49"",305,73.93321228,99622.33594,44.45882416,0.200000003,""11:46:49"",23.11427498,72.4985199,55.5,12,0.02538085,0.021764159,0.959023476,36.28948593,-22.00738525,-8.162777901,""Ascent"",-0.819366097,-86.69842529,-2098.276611"
"""2022ASI-002"",""11:46:56"",311,73.7063446,99625.01563,44.50588226,0.200000003,""11:46:57"",23.11427689,72.49852753,54.5,12,0.027333975,0.010777831,0.970009804,36.16734695,-22.84707832,-7.53682375,""Ascent"",177.0242615,-29.90315628,-2137.554932"
"""2022ASI-002"",""11:46:58"",314,73.91954041,99622.5,44.50588226,0.200000003,""11:46:58"",23.11427689,72.49852753,54.5,12,0.027089834,0.003453612,0.970986366,36.42688751,-22.81654358,-8.193312645,""Ascent"",-78.67199707,-88.01044464,-2157.8125"
"""2022ASI-002"",""11:46:58"",315,73.63950348,99625.8125,44.6941185,0.200000003,""11:47:0"",23.11427689,72.49852753,54.5,12,0.026845694,0.001500487,0.965859413,36.33528519,-23.62570572,-6.987205505,""Ascent"",-46.6870575,70.34509277,-2163.779541"
"""2022ASI-002"",""11:47:0"",316,73.74382019,99624.57813,44.55294037,0.200000003,""11:47:1"",23.11427689,72.49852753,53.90000153,12,0.024404287,0.009557128,0.966103554,36.39635468,-23.8241787,-6.834533691,""Ascent"",-10.92959976,46.12189865,-2170.449951"
"""2022ASI-002"",44.6941185,0.200000003,""11:47:13"",23.11427498,72.49853516,53,12,-0.007089853,0.030797362,0.957070351,37.14444733,-20.23639297,-7.445220947,""Ascent"",41.74827576,-38.38369751,-2255.18042,""11:47:13"",330,74.0355072"
"""2022ASI-002"",""11:47:19"",337,74.04158783,99621.05469,44.78823471,0.200000003,""11:47:20"",23.11426926,72.49853516,51.90000153,12,-0.011484385,0.009557128,1.001259804,38.2742157,-21.22875786,-6.971938133,""Ascent"",-62.30310822,-25.58589554,-2309.777588"
"""2022ASI-002"",""11:47:20"",338,73.8967514,99622.76563,44.78823471,0.200000003,""11:47:20"",23.11426926,72.49853516,51.90000153,12,0.046376944,0.0141958,0.958046913,35.83147049,-22.95394897,-7.720029831,""Ascent"",-31.01689911,-44.36271667,-2316.378174"
"""2022ASI-002"",""11:47:20"",341,74.03804016,99621.09375,44.83529282,0.200000003,""11:47:20"",23.11426926,72.49853516,51.90000153,12,0.040029287,0.003209472,0.965126991,35.96887207,-23.38142967,-7.475755215,""Ascent"",64.96491241,74.11804199,-2337.527344"
